"","year_1","year_2","year_3","year_4","year_5","year_6","year_7","year_8","year_9","year_10","year_11","year_12","year_13","year_14","year_15"
"JOR",1.218,-3.57,-3.807,-5.114,0.692,-1.999,-7.375,-1.711,-2.351,-0.248,-4.81,-1.134,-1.398,0.142,1.601
"KAZ",-19.806,-28.031,-21.204,-17.607,-23.196,-24.863,-13.037,-15.435,-11.171,-17.41,-17.875,-10.48,-10.691,-6.71,-6.884
"KEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KWT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KGZ",-7.813,-10.588,-13.476,-13.164,-4.376,-14.638,-5.284,-4.436,-7.813,-5.474,-5.906,-7.605,-5.82,-7.261,-6.947
"LVA",-17.17,-17.33,-27.358,-24.537,-29.617,-6.576,-16.995,-21.995,-18.545,-25.526,-15.305,-12.549,-13.544,-7.848,-3.293
"LBN",-4.068,-12.286,-6.876,-10.155,-5.053,-5.277,-0.174,-4.086,-6.933,-2.311,0.033,-1.159,-0.825,-0.541,-4.302
"LBY",-4.931,-3.086,-3.322,-0.032,-0.851,2.524,-2.333,-4.086,-0.023,-4.176,1.799,0.631,-2.624,4.99,2.12
"LTU",-6.454,-13.355,-18.132,-15.93,-12.044,-1.046,-8.14,-6.053,-2.817,-6.339,-5.164,-2.636,-7.019,-6.127,-5.51
"LUX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MWI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MDV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MLI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
